Property Name,Area,Property Price,Location,Bedrooms,Bathrooms,Status,Area Price Persft,Lift,Furniture,Parking,Address,Transaction
1 BHK Builder Floor,340 sqft,₹ 21.0 Lac,"Uttam Nagar West ,New Delhi",1 See Dimension,1,Ready to Move,"₹ 6,176/sqft",1,Semi-Furnished,None,"Uttam Nagar west Metro Station, Uttam Nagar West, New Delhi - West, Delhi NCR","New Property
Free Legal Title Check"
,2267 sqft,,,2,3,Under Construction,"₹ 21,614/sqft",,1 Covered,"New Property
Free Legal Title Check","Moti Nagar, New Delhi - West, Delhi NCR",Dec '24
,9000 sqft,,,4,5,Ready to Move,"₹ 17,500/sqft",,1 Covered,1 (Out of 4 Floors),"GK I, New Delhi - South, Delhi NCR","New Property
Free Legal Title Check"
,4000 sqft,,,4 See Dimensions,5,Ready to Move,"₹ 23,750/sqft",1,2 Covered,Ground (Out of 4 Floors),"Vasant Vihar, Vasant Vihar, New Delhi - South, Delhi NCR","Resale
Free Legal Title Check"
3 BHK Builder Floor,1120 sqft,₹ 70.0 Lac,"Chhattarpur ,New Delhi",3 See Dimensions,2,Ready to Move,"₹ 6,250/sqft",1,1 Covered,2 (Out of 4 Floors),"Chhattarpur New Delhi, Chhattarpur, New Delhi - South, Delhi NCR","New Property
Free Legal Title Check"
,400 sqyrd,,,4 See Dimension,4,Ready to Move,"₹ 2,37,500/sqft",5 to 10 years,3 Covered,Ground (Out of 4 Floors),"Vasant vihar., Vasant Vihar, New Delhi - South, Delhi NCR","Resale
Free Legal Title Check"
,300 sqyrd,,,4 See Dimension,4,Ready to Move,"₹ 2,28,333/sqft",New Construction,2 Covered,3 (Out of 4 Floors),"greater kailash, GK II, New Delhi - South, Delhi NCR","New Property
Free Legal Title Check"
3 BHK Builder Floor,870 sqft,₹ 80.0 Lac,"Sector 23 Rohini ,New Delhi",3 See Dimensions,2,Ready to Move,"₹ 9,195/sqft",New Construction,"1 Covered, 1 Open",1 (Out of 4 Floors),"Sector 23 Rohini, New Delhi - Rohini, Delhi NCR","New Property
Free Legal Title Check"
3 BHK Builder Floor,1150 sqft,₹ 72.0 Lac,"Sector 20 Rohini ,New Delhi",3 See Dimensions,3,Ready to Move,"₹ 6,261/sqft",New Construction,"1 Covered, 1 Open",1 (Out of 4 Floors),"Sector 20 Rohini, New Delhi - Rohini, Delhi NCR","New Property
Free Legal Title Check"
,3600 sqft,,,4 See Dimensions,4,Ready to Move,"₹ 9,722/sqft","Power Back Up
Laundry Service
Earth quake resistant
Jogging and Strolling Track
CCTV Camera
Water Storage
View all Amenities","1 Covered, 1 Open",1 (Out of 4 Floors),"Marble, Normal Tiles/Kotah Stone","New Property
Free Legal Title Check"
